Field 1,Field 3,Unit Price
JPRDIS39989,10,1.09
JPRDIS39992,10,1.09
JPRDIS02662,1,1.49
JPRDIS38035,4,1.79
JPRDIS03274,10,3.50
JPRDIS03277,10,3.50
JPRDIS38421,10,0.89
JPRDIS38437,10,0.89
JPRDIS38976,15,1.26
JPRDIS39104,25,1.26
JPRDIS39965,10,1.09
JPRDIS39998,10,1.09
JPRDIS39987,10,1.09
JPRDIS39988,20,1.09
JPRDIS04107,10,3.50
JPRDIS40158,1,11.90
JPRDIS40250,4,12.90
JPRDIS40953,7,12.90
JPRDIS40779,1,19.90
JPRDIS40781,1,19.90
JPRDIS40852,6,0.89
JPRDIS40856,6,0.89
JPRDIS41007,6,0.89
JPRDIS38090,20,0.79
JPRDIS38359,10,0.79
JPRDIS38364,20,0.79
JPRDIS38365,30,0.79
JPRDIS38719,10,0.79
JPRDIS03772,10,3.50
JPRDIS03932,10,0.79
JPRDIS04106,10,3.50
JPRDIS40835,6,0.89
JPRDIS04748,6,3.50
JPRDIS40948,6,0.89
JPRDIS40965,6,0.89
JPRDIS40968,6,0.89
JPRDIS41123,10,0.89
JPRDIS41124,10,0.89
JPRDIS41126,10,0.89
JPRDIS38703,5,0.92
JPRDIS38111,10,0.79
JPRDIS38117,10,0.79
JPRDIS38120,10,0.79
JPRDIS38145,10,0.79
JPRDIS38146,10,0.79
JPRDIS38262,20,1.19
JPRDIS39180,10,0.79
JPRDIS04102,10,3.50
JPRDIS04828,6,3.50
JPRDIS03560,1,2.69
JPRDIS40676,1,1.62
JPRDIS40677,6,1.62
JPRDIS40679,1,1.62
JPRDIS40975,3,22.90
JPRDIS40976,2,22.90
JPRDIS39307,2,1.49
JPRDIS41045,12,0.89
JPRDIS41046,12,0.89
JPRDIS41050,12,0.89
JPRDIS41065,6,0.89
JPRDIS41077,6,0.89
JPRDIS41101,12,0.89
JPRDIS41104,12,0.89
JPRDIS04885,12,3.50
JPRDIS04624,1,3.80
JPRDIS40845,6,0.89
JPRDIS04916,6,3.50
JPRDIS04985,6,3.90
JPRDIS04984,6,3.90
JPRDIS04983,6,3.90
JPRDIS04982,7,3.90
JPRDIS04981,6,3.90
JPRDIS04980,6,3.90
JPRDIS41211,10,0.79
JPRDIS41212,10,0.79
JPRDIS41213,10,0.79
JPRDIS41214,10,0.79
JPRDIS41196,10,0.79
JPRDIS41197,10,0.79
JPRDIS41198,10,0.79
JPRDIS41199,10,0.79
JPRDIS41191,10,0.79
JPRDIS41192,10,0.79
JPRDIS41193,10,0.79
JPRDIS41194,10,0.79
JPRDIS41186,10,0.79
JPRDIS41187,10,0.79
JPRDIS41188,10,0.79
JPRDIS41174,6,0.89
JPRDIS41175,6,0.89
JPRDIS41173,6,0.89
JPRDIS41171,6,0.89
JPRDIS41172,6,0.89
JPRDIS41170,6,0.89
JPRDIS41169,6,0.89
JPRDIS41167,6,0.89
JPRDIS41165,6,0.89
JPRDIS41166,6,0.89
JPRDIS41164,6,0.89
JPRDIS01359,1,5.00
JPRDIS41133,10,0.89
JPRDIS38366,30,0.79
JPRDIS38092,10,0.79
JPRDIS41049,6,0.89
JPRDIS04394,20,4.29
JPRDIS39986,10,1.09
JPRDIS03743,20,3.50
JPRDIS04359,10,3.50
JPRDIS03453,4,4.00
JPRDIS41018,6,0.89
JPRDIS40310,20,0.89
JPRDIS40309,20,0.89
JPRDIS41088,6,0.89
JPRDIS38706,20,0.79
JPRDIS40056,10,0.89
JPRDIS40966,6,0.89
JPRDIS38159,10,0.79
JPRDIS38160,10,0.79
JPRDIS38129,10,0.79
JPRDIS38130,10,0.79
JPRDIS38961,10,0.79
JPRDIS38819,10,0.79
JPRDIS39140,10,0.79
JPRDIS39138,10,0.79
JPRDIS39139,10,0.79
JPRDIS39320,10,0.79
JPRDIS04718,6,3.50
JPRDIS04829,6,3.50
JPRDIS04917,6,3.50
JPRDIS04105,10,3.50
JPRDIS40044,10,0.89
JPRDIS03275,10,3.50
JPRDIS40062,10,0.89
JPRDIS40106,5,25.90
JPRDIS40102,3,26.90
